year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_buenos aires coronel suarez_9,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9
2009,ECMWF,11,2970.2970292832338,0.0808897038617558,-0.3130768368150753,-0.21858430476582733,0.2844879972430984,1.6805210396152932
2010,ECMWF,9,3933.646838880765,0.395993458774148,0.014556950987785616,0.4000472566120018,-0.2197556412104424,-0.4108507544930814
2010,ECMWF,10,3933.646838880765,0.395993458774148,0.5634488518503973,0.06295872642527095,0.053779813591176305,7.542780198379432
2010,ECMWF,11,3933.646838880765,0.395993458774148,0.5634488518503973,-0.009715961268662929,-0.038221224414520784,7.542780198379432
2011,ECMWF,9,3647.926665981048,0.1954531458213887,-1.3102074344614874,-0.007923396751658882,-0.06825715631512332,0.037355122226415356
2011,ECMWF,10,3647.926665981048,0.1954531458213887,-0.7891330773952606,0.18283271549457883,-0.38229531357549357,0.2016136427713641
2011,ECMWF,11,3647.926665981048,0.1954531458213887,-0.7891330773952606,-0.3081902243040175,0.5202003668530594,0.2016136427713641
2012,ECMWF,9,2958.105831211545,-0.0776281120723763,5.247302065506889,0.19110369930880047,-0.2368522149810183,4.64469678577543
2012,ECMWF,10,2958.105831211545,-0.0776281120723763,-0.115485635683015,-0.25109908135613085,0.006999377915738379,-0.3925187017445242
2012,ECMWF,11,2958.105831211545,-0.0776281120723763,-0.115485635683015,-0.09292378290463103,0.01741413988361256,-0.3925187017445242
2013,ECMWF,9,2707.197486937163,-0.1611192435848817,-0.17440873897675638,0.07927051392696251,0.09837461754237956,-0.37865450278531293
2013,ECMWF,10,2707.197486937163,-0.1611192435848817,-0.8585340470000414,-0.0808090134026289,0.04362459720194177,-0.5336313087167431
2013,ECMWF,11,2707.197486937163,-0.1611192435848817,-0.8585340470000414,-0.23713982660067745,-0.04267923230345283,-0.5336313087167431
2014,ECMWF,9,2892.8454356606403,-0.0935090762133243,0.3775006076677436,-0.185119047654831,0.36470664841223105,0.7828047353746499
2014,ECMWF,10,2892.8454356606403,-0.0935090762133243,-0.5108494742853904,-0.1668354760540263,0.07725735589773468,-0.500335100763234
2014,ECMWF,11,2892.8454356606403,-0.0935090762133243,-0.5108494742853904,-0.11838126572603784,-0.06150479763536644,-0.500335100763234
2015,ECMWF,9,3101.367971827829,-0.0324093531892292,0.12049046114670799,-0.09033593275225436,-0.33990656622028964,-0.28001251729033066
2015,ECMWF,10,3101.367971827829,-0.0324093531892292,1.1540804948213494,-0.07220963873457394,-0.1668453863701455,-0.3569490759502374
2015,ECMWF,11,3101.367971827829,-0.0324093531892292,1.1540804948213494,-0.19318507135096083,0.38764949973313767,-0.3569490759502374
2016,ECMWF,9,3477.431893841902,0.0660093515389699,-0.1439665331390992,-0.22838198477570087,0.39670211456836013,-0.3484190132954143
2016,ECMWF,10,3477.431893841902,0.0660093515389699,0.4535733183096389,-0.16414185531131456,0.16197973444921754,-0.4375762119376423
2016,ECMWF,11,3477.431893841902,0.0660093515389699,0.4535733183096389,-0.13397673162838525,-0.15861713830367918,-0.4375762119376423
1993,ERA,12,2037.439151033997,-0.0461708621216909,0.5078820007956356,0.2863233665927133,-1.3371376266750703,-0.5040017024172249
1994,ERA,12,2185.741997507356,0.018137739947107,-0.0318913201485533,-0.0928454484311239,-1.0337286722117094,-0.5151841819496545
1995,ERA,12,1946.759707253285,-0.1022646938567331,-1.34663793103679,-0.4976641237580463,0.4066374925215741,-0.2192486650489319
1996,ERA,12,2260.47032027338,0.0409677436828619,0.4924623043142366,-0.4167712122692081,0.4365347658313229,-0.2548149533584984
1997,ERA,12,2623.2529203255017,0.1759128118634677,0.7601389857480411,0.0650182640349803,0.9792430434630672,-0.4409148741206526
1998,ERA,12,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.5469327354233317,0.0521203007381482,-0.5361534570880869
1999,ERA,12,2505.6008274599226,0.0603710133986302,0.5317531079354265,-0.5330269053589572,0.0098620388221384,0.9231740065533972
2000,ERA,12,2551.682570811968,0.0453192686395238,-1.2463461165030476,0.3169865399288442,0.5855720085617787,-0.5292592793592488
2001,ERA,12,2275.107945586972,-0.0832118001855024,-1.2433379812878398,0.0709074938674597,-0.2388646632683107,0.0888929796124224
2002,ERA,12,2098.312168451822,-0.1599897413045245,0.5232752646835752,-0.4318600294867696,-0.9670474969245504,-0.6408790443192578
2003,ERA,12,2687.6983520115846,0.0867211661741361,-0.1911015914509483,-0.5421503383899742,0.0276063964828893,0.0571284311943044
2004,ERA,12,2768.3673897008125,0.0933536252225563,0.3102260833714876,0.098379161710137,0.0407885039530473,-0.2857390823426177
2005,ERA,12,2652.504506303661,0.0295492665437282,0.4255546475041008,-0.094888722576201,0.3467747410690954,-0.5823330100573393
2006,ERA,12,2802.152801978974,0.0575983895925021,-0.2288072677467741,-0.5280180888460577,-0.2981116978529414,-0.2816089155925115
2007,ERA,12,2964.9821230781013,0.0901024788182954,3.681450724291503,1.1777806831276132,1.1621159970894412,0.7358328556136267
2008,ERA,12,2024.453890851962,-0.2906591931618024,0.4254184536933775,10.62584620529562,-4.421605882125919,-0.6415970205877183
2009,ERA,12,2970.2970292832338,0.0808897038617558,-0.3130768368150753,-0.513867802931887,-0.00642786250972,1.6805210396152932
2010,ERA,12,3933.646838880765,0.395993458774148,0.5634488518503973,-0.4493807211889064,0.2676650677514036,7.542780198379432
2011,ERA,12,3647.926665981048,0.1954531458213887,-0.7891330773952606,0.3809022289770587,2.817331230508408,0.2016136427713641
2012,ERA,12,2958.105831211545,-0.0776281120723763,-0.115485635683015,-0.1701648347119289,0.7324925865930428,-0.3925187017445242
2013,ERA,12,2707.197486937163,-0.1611192435848817,-0.8585340470000414,-0.3185645832213992,-0.404934382713609,-0.5336313087167431
2014,ERA,12,2892.8454356606403,-0.0935090762133243,-0.5108494742853904,-0.5443936859434162,0.0552250789727474,-0.500335100763234
2015,ERA,12,3101.367971827829,-0.0324093531892292,1.1540804948213494,-0.5456085966336224,0.0068205875864286,-0.3569490759502374
2016,ERA,12,3477.431893841902,0.0660093515389699,0.4535733183096389,-0.5369251096799367,-0.0263934967477967,-0.4375762119376423
